65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
5574,982,3303,5596,5616,1354,5647,12456,1053,5338,9915,8976,5458,120249,11053,5312,984,172,5397,8867,8834,5176,400,120351,10521,120341
5583,42831,5196,5597,1064,1415,5646,9014,5500,5331,9914,9175,5356,918,7441,5319,3515,8733,3351,8866,8835,5171,5712,215,8907,8469
11375,42221,42203,42231,398,42206,42216,120439,120440,5259,42200,42230,120480,119873,48,42194,10226,42212,1029,42197,42229,42213,8559,66327,8516,119885

84,72,69,32,70,73,172,5196,400,10226,5319,9014,120480,73,8867,88,77,81,75,89,5458,42203,82,83,32,3303,66,11053,70,1029,42212,7441,5616,70,1053,83,72,69,68,46
5312,1029,71,42231,3303,82,5616,5312,42200,76,69,68,32,5712,12456,72,69,32,3351,5356,65,75,1064,5171,8516,1053,5583,86,69,32,8834,83,42231,32,78,5500,119885,90,87,8733
11053,32,8976,48,32,1029,32,70,73,9175,7441,9014,3303,10521,32,8866,32,46,1029,120480,11053,398,42229,8559,5616,172,32,85,5259,42213,5397,8516,5597,3351,400,11375,42203,5196,83,11053
9915,7441,5596,1029,5574,5583,5647,32,42200,400,5646,69,8834,120439,42197,119885,120439,9915,42212,8733,69,8469,120249,5616,42230,42203,46,70,84,5171,32,42229,77,5583,8559,32,8516,42212,65,5338
5616,8733,32,73,32,32,8976,5597,215,5647,76,5596,119873,5312,79,72,73,83,32,5583,120249,83,5597,5596,8867,120439,5597,42206,5397,88,8867,5647,42229,9175,5338,8834,984,7441,11053,11053
46,5583,42200,120341,8733,5597,11053,918,46,120249,67,69,82,32,5574,32,70,119873,5331,8835,75,5176,48,32,48,42230,1064,69,9914,78,12456,8866,82,79,83,32,83,8866,42221,8976
32,78,86,3351,85,1064,8559,5583,32,42231,42230,1053,1354,8469,120249,918,72,120341,74,5259,120341,5616,42831,11375,10521,42197,3351,1029,5331,120480,5616,3303,5583,81,74,42194,5616,5596,48,42213
76,79,78,71,32,5574,172,42229,42200,42197,5500,9014,85,9915,5596,5500,32,42197,120440,42213,918,32,3351,5356,80,5356,32,5500,120439,68,32,83,9914,32,42231,42230,120480,119885,9175,87
42206,70,5574,32,48,42216,87,65,83,32,5712,66327,42197,78,32,9914,984,87,32,11375,5647,5397,5616,69,68,32,1053,1064,32,1053,5397,73,71,3303,90,7441,32,46,8516,42200
172,9915,5397,12456,82,172,32,9175,8867,984,5583,120249,11375,120440,42216,42200,5319,48,8866,5596,119873,1053,8516,918,32,78,120249,3351,5597,8516,65,77,69,32,87,73,76,68,32,3351
5646,42212,32,5574,90,5616,8907,8733,46,11375,120440,8867,10521,65,32,89,11053,5500,9014,81,5647,119873,172,1064,86,5500,32,77,918,8867,5312,42221,5176,8835,5596,5597,42216,119885,8559,42216
172,12456,42197,42230,5597,5259,9914,76,5500,8907,42213,32,8559,32,8516,119873,8834,9915,5646,68,1053,42200,7441,8866,1029,120440,5397,172,5583,32,42231,398,42194,42194,11375,119873,1029,32,398,42212
82,5616,8976,72,69,32,3351,5458,5596,42212,120440,42221,5458,46,71,5176,120249,42230,8835,11375,78,71,32,8867,8867,9175,73,8976,8834,5338,9915,918,120440,7441,69,5646,42212,82,72,5500
8516,32,10226,8866,3515,42231,172,66327,5397,3515,71,87,1415,3351,46,5312,5647,85,5583,72,90,10521,42212,11053,119885,32,5583,69,78,67,69,32,65,83,32,84,72,69,32,1415
5574,398,76,32,32,66,67,120341,32,42203,78,69,83,8866,42197,8733,32,5397,5196,8976,42197,1053,69,32,1053,1064,172,66327,3303,79,1064,70,84,9915,8834,5458,32,1354,11375,1029
172,1064,85,5597,5312,42200,1029,120440,3303,46,32,42231,119885,8834,42230,918,982,69,32,1053,32,120480,120440,120439,5712,5712,32,46,42197,42212,11375,398,120439,120440,9175,5597,119885,5616,83,32
8867,215,69,1064,120480,42212,48,9915,5574,120439,8733,5596,5458,5458,32,85,11053,69,5597,120249,75,8907,119873,8866,398,120249,120480,1029,66327,5712,10521,8516,32,68,3303,82,86,32,8835,8907
12456,69,73,78,71,32,1415,70,8976,70,5500,9914,42831,11053,5597,70,10521,69,918,32,79,400,5338,5597,120480,42216,78,42194,8907,90,5458,8976,3351,5171,8867,32,119873,120440,83,9914
32,42831,42831,75,120249,8469,5458,11375,8976,77,1064,71,42194,32,1064,88,32,120439,5583,5574,89,8867,9175,75,83,75,89,32,73,78,32,72,5500,84,12456,8733,42194,120440,32,5597
400,32,984,80,9915,1029,32,42231,398,3515,9014,5259,8516,400,5356,11375,119873,5171,32,32,65,8835,42231,1415,32,88,8907,8976,32,5171,42831,1053,42194,5356,5616,42203,42200,984,1064,120249
5574,9175,5646,5458,8516,1415,8733,78,71,32,8866,984,90,5574,120440,5338,88,5596,5646,76,5574,10521,120440,70,1064,12456,87,85,5259,120249,5171,120249,9915,120341,1053,78,90,84,9014,5596
5397,9175,5574,5574,3303,5171,8835,5500,42231,42230,120440,42229,5597,8867,70,12456,75,73,918,5646,120249,70,75,82,9014,42197,32,42216,119873,120440,5458,76,120351,172,172,5458,78,32,120341,1415
32,5500,5616,42200,1415,89,73,70,70,83,32,42831,12456,42203,172,3515,918,42212,66327,5616,5647,120480,66327,1064,8516,400,1029,77,1415,8907,42212,42212,120341,982,32,80,8733,7441,68,42229
83,8866,172,398,982,67,9175,1064,65,12456,86,984,5616,11053,84,72,5500,400,5338,5574,42229,66,73,78,69,68,32,12456,12456,5583,78,5583,120480,5458,398,73,78,8866,982,48
32,5171,5397,83,120440,32,42831,5616,5597,42213,400,11053,5596,400,32,80,5597,984,10521,5647,5646,5356,9914,8733,72,5338,74,79,77,69,32,5196,67,982,5574,32,77,65,8867,80
42206,8866,46,5458,8516,1064,3515,74,8733,42194,90,982,32,84,8866,8976,9014,66327,12456,5616,46,42831,66327,8835,42197,1064,32,120351,5597,120249,68,79,8835,172,119885,5319,1415,5500,8834,42230
120480,85,32,120440,42216,9014,8866,8867,32,120480,48,42212,42206,120341,8835,8516,11375,5583,5574,32,119873,5583,5647,1064,1064,42212,32,398,120439,32,46,398,42203,11375,66,8835,32,48,120480,32
120351,12456,42197,3303,8733,8866,42197,12456,12456,88,5171,3351,982,66327,7441,8733,67,67,5312,79,70,32,400,46,8907,5646,80,77,42231,120439,120249,5596,215,68,8516,1053,72,5596,90,9914
