65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
65,42221,390,42231,398,43003,1240,72,73,4273,42200,8515,77,1048,79,5227,984,1071,423,84,85,86,87,88,89,2365

84,72,69,32,70,73,82,69,32,66,85,82,78,69,68,32,83,84,69,65,68,89,32,65,83,32,75,65,82,79,32,84,72,69,32,69,76
423,39,42231,8515,1071,79,87,32,398,72,84,32,1048,398,72,87,32,44,79,1240,65,32,1240,1048,79,8515,32,46,398,42200,79,5227,423,32,1071,398,42231
32,66,79,78,69,83,32,87,69,82,69,32,83,84,73,76,76,32,83,79,70,84,32,65,78,68,32,84,72,69,32,83,75,73,69,83,32
65,77,89,42200,423,32,398,72,84,32,398,1071,398,87,32,398,1071,398,72,84,32,44,77,1071,79,84,423,32,72,84,73,87,32,42231,8515,73,87
75,69,82,83,46,32,86,65,83,84,32,66,73,82,68,83,44,32,66,82,79,65,68,32,79,70,32,87,73,78,71,44,32,67,73,82,67
84,8515,73,85,42221,32,89,398,72,84,32,398,1071,398,72,87,32,423,43003,43003,73,8515,390,32,72,1240,73,72,32,398,72,84,32,1240,1048,73,8515
32,84,72,69,73,82,32,78,69,83,84,83,46,32,65,32,66,79,89,44,32,87,72,79,83,69,32,78,65,77,69,32,72,65,83,32,66
423,42231,1071,73,42221,32,398,423,398,72,84,32,42231,398,72,390,84,65,87,32,44,398,77,73,84,32,79,84,32,84,423,79,8515,32,1048,398,398
32,79,70,84,69,78,46,32,72,69,32,76,79,78,71,69,68,32,84,79,32,70,76,89,32,65,83,32,84,72,69,89,32,68,73,68,44
398,398,43003,32,423,73,72,32,42231,1048,85,79,42221,32,1240,1048,73,8515,8515,65,43003,32,43003,79,32,1071,65,398,43003,32,72,1240,85,79,72,84,32
84,32,84,79,32,84,72,69,32,83,84,79,78,69,46,32,79,78,69,32,68,65,89,44,32,65,32,78,69,83,84,32,83,76,73,80,80
84,32,1240,1048,73,8515,42221,77,85,84,32,44,43003,43003,73,8515,390,32,84,423,398,8515,8515,65,84,32,398,72,84,32,77,79,1071,43003,32,42231,398
79,87,65,82,68,32,82,85,73,78,46,32,84,72,69,32,66,79,89,32,82,65,78,44,32,83,87,73,70,84,32,65,78,68,32,85,78
32,46,423,77,1071,65,32,423,73,72,32,1048,73,32,84,73,32,84,72,1240,85,65,390,32,42231,1048,65,32,44,1240,1048,73,42200,1048,73,72,84
84,72,69,32,83,75,89,77,65,75,69,82,83,32,82,69,74,79,73,67,69,68,32,65,66,79,86,69,32,72,73,77,44,32,86,79,73
1071,398,86,73,1071,32,42231,1048,65,32,42231,1048,73,87,45,77,1071,79,84,423,32,398,42200,73,8515,32,1240,1048,73,1240,1048,73,1071,32,423,398,390
46,32,84,72,69,89,32,76,73,70,84,69,68,32,72,73,77,32,85,80,44,32,83,65,70,69,32,73,78,32,84,72,69,73,82,32,69
85,79,8515,390,32,398,72,84,32,79,84,1048,73,32,77,73,72,32,42231,398,73,1071,1071,65,390,32,42231,1048,65,32,44,398,390,65,1071,42221,77
68,83,46,32,72,69,32,82,69,84,85,82,78,69,68,32,65,84,32,76,65,83,84,44,32,84,72,69,32,71,82,79,85,78,68,32,66
42200,423,32,398,72,84,32,84,85,42221,32,44,398,77,65,423,32,398,72,84,32,8515,8515,73,84,423,32,77,73,72,32,72,84,65,398,1048,398
89,32,70,79,82,69,86,69,82,32,67,65,82,82,73,69,68,32,73,78,32,72,73,83,32,72,69,65,82,84,46,32,65,78,68,32,83
32,72,84,1071,65,398,32,398,72,84,32,45,32,1071,398,42221,77,398,77,398,1071,32,398,87,32,44,1048,398,1071,42231,8515,73,72,390,32,44,79
66,69,76,79,78,71,83,32,84,79,32,65,76,76,32,87,72,79,32,87,65,76,75,32,73,84,44,32,66,85,84,32,84,72,69,32,83
46,72,390,65,398,1071,32,79,84,32,423,398,1071,65,42231,32,79,72,87,32,398,1048,79,32,398,72,84,32,423,1071,79,86,65,43003,32,89,42200
